พื้นที่,เนื้อที่ยืนต้นทั้งหมด,,,ผลผลิตที่เก็บเกี่ยวได้
,(ไร่),,,(กิโลกรัม)
,ให้ผลผลิต,ยังไม่ให้ผล,รวม (ไร่),
,,,,
บ้านแพ้ว,"47,181.25","6,782.00","53,963.25","147,639,237.50"
ไม้ผล,"30,670.25","1,666.00","32,336.25","99,702,475.50"
กล้วยไข่,637,0,637,"2,659,640.00"
กล้วยน้ำว้า,"1,363.00",181,"1,544.00","10,973,908.00"
กล้วยหอม,366,3,369,"1,806,740.00"
ชมพู่,"1,365.00",0,"1,365.00","2,033,195.00"
ฝรั่ง,"5,553.00",313,"5,866.00","15,881,580.00"
พุทรา,183,0,183,"237,120.00"
มะนาว,"7,560.00",0,"7,560.00","17,689,830.00"
มะม่วง,"8,992.00",312,"9,304.00","33,176,300.00"
ลำไย,"2,149.25",857,"3,006.25","3,840,722.50"
องุ่น,"1,359.00",0,"1,359.00","4,600,250.00"
แก้วมังกร,"1,143.00",0,"1,143.00","6,803,190.00"
ไม้ยืนต้น,"16,511.00","5,116.00","21,627.00","47,936,762.00"
มะพร้าว,"16,511.00","5,116.00","21,627.00","47,936,762.00"
สระแก้ว,"68,724.00","140,143.00","208,867.00","481,944,960.97"
เมืองสระแก้ว,"9,369.00","33,615.00","42,984.00","22,964,129.10"
ไม้ผล,"2,680.00","1,299.00","3,979.00","17,053,524.00"
กระท้อน,223,0,223,"240,000.00"
กล้วยน้ำว้า,70,2,72,"1,890,000.00"
ขนุนหนัง,310,0,310,0
ฝรั่ง,6,0,6,"28,124.00"
มะนาว,40,34,74,"708,400.00"
มะม่วง,"1,545.00",860,"2,405.00","8,187,500.00"
มังคุด,0,10,10,0
ลำไย,25,393,418,0
ส้มโอ,461,0,461,"5,999,500.00"
ไม้ยืนต้น,"6,629.00","32,291.00","38,920.00","5,910,605.10"
ปาล์มน้ำมัน,738,"5,563.00","6,301.00","5,653,444.00"
มะพร้าว,50,229,279,0
มะม่วงหิมพานต์,101,0,101,"99,246.00"
ยางพารา,280,"6,495.00","6,775.00","157,915.10"
ยูคาลิปตัส,"5,200.00","20,000.00","25,200.00",0
ไผ่,260,0,260,0
ผักหวานป่า,0,1,1,0
ต้นยางนา,0,3,3,0
สมุนไพรและเครื่องเทศ (รต.02),60,25,85,0
กฤษณา,60,25,85,0
คลองหาด,"6,161.00","4,776.00","10,937.00","25,435,849.00"
ไม้ผล,397,189,586,"518,000.00"
ชมพู่,268,90,358,"518,000.00"
ทุเรียน,0,24,24,0
มะขาม,20,0,20,0
มะม่วง,80,45,125,0
มะละกอ,29,30,59,0
ไม้ยืนต้น,"5,764.00","4,587.00","10,351.00","24,917,849.00"
ปาล์มน้ำมัน,"4,001.00",999,"5,000.00","24,917,849.00"
ยางพารา,"1,723.00","3,038.00","4,761.00",0
ยูคาลิปตัส,0,550,550,0
ไผ่,40,0,40,0
ตาพระยา,"1,343.00","5,647.00","6,990.00",0
ไม้ผล,235,902,"1,137.00",0
มะม่วง,66,641,707,0
ลำไย,169,261,430,0
ไม้ยืนต้น,"1,108.00","4,745.00","5,853.00",0
ปาล์มน้ำมัน,612,814,"1,426.00",0
ยางพารา,439,558,997,0
ยูคาลิปตัส,57,"3,373.00","3,430.00",0
วังน้ำเย็น,"4,041.00","16,599.00","20,640.00","1,267,395.37"
ไม้ผล,"2,214.00","8,121.00","10,335.00",0
กล้วยน้ำว้า,60,70,130,0
กล้วยหอม,0,115,115,0
กล้วยตานี,66,0,66,0
มะขาม,20,60,80,0
มะม่วง,"1,192.00","1,099.00","2,291.00",0
มะละกอ,155,358,513,0
ลำไย,716,"6,392.00","7,108.00",0
แก้วมังกร,5,27,32,0
ไม้ยืนต้น,"1,827.00","8,478.00","10,305.00","1,267,395.37"
ปาล์มน้ำมัน,552,"1,413.00","1,965.00","1,231,278.00"
ยางพารา,548,"6,845.00","7,393.00","36,117.37"
ไผ่,727,220,947,0
วัฒนานคร,"12,418.00","18,567.00","30,985.00","376,296,800.00"
ไม้ผล,"2,580.00","1,163.00","3,743.00","8,928,000.00"
กระท้อน,66,26,92,0
ขนุนหนัง,0,125,125,0
ทุเรียน,0,125,125,0
มะนาว,7,11,18,"27,500.00"
มะม่วง,"1,978.00",479,"2,457.00","8,900,500.00"
ลำไย,529,397,926,0
ไม้ยืนต้น,"9,838.00","17,404.00","27,242.00","367,368,800.00"
ปาล์มน้ำมัน,"5,175.00","10,185.00","15,360.00","367,368,800.00"
ยางพารา,"4,663.00","7,219.00","11,882.00",0
อรัญประเทศ,"4,946.00","8,459.00","13,405.00","3,485,285.00"
ไม้ผล,"1,350.00","2,091.00","3,441.00","1,901,150.00"
กล้วยน้ำว้า,134,45,179,"28,940.00"
ชมพู่,5,5,10,"9,000.00"
ฝรั่ง,6,13,19,"13,250.00"
มะนาว,1,6,7,740
มะม่วง,366,20,386,"44,700.00"
มะละกอ,381,223,604,"906,820.00"
ลำไย,457,"1,775.00","2,232.00","897,700.00"
แก้วมังกร,0,4,4,0
ไม้ยืนต้น,"3,596.00","6,368.00","9,964.00","1,584,135.00"
ปาล์มน้ำมัน,"1,016.00","1,854.00","2,870.00","1,584,135.00"
มะพร้าว,0,3,3,0
ยางพารา,172,985,"1,157.00",0
ยูคาลิปตัส,"2,408.00","3,496.00","5,904.00",0
ไม้สัก,0,30,30,0
เขาฉกรรจ์,"19,873.00","23,549.00","43,422.00","52,045,502.50"
ไม้ผล,"5,207.00","2,133.00","7,340.00","24,362,345.00"
กล้วยไข่,20,0,20,"360,000.00"
กล้วยน้ำว้า,160,50,210,"1,570,000.00"
เงาะ,59,12,71,"115,000.00"
ทุเรียน,21,42,63,"21,000.00"
ฝรั่ง,183,0,183,"2,073,000.00"
มะนาว,166,29,195,"2,105,000.00"
มะม่วง,"3,255.00",942,"4,197.00","15,801,345.00"
มะยงชิด,35,0,35,"7,500.00"
มะละกอ,130,120,250,"1,685,000.00"
มังคุด,21,2,23,"32,000.00"
ลองกอง,16,20,36,"32,000.00"
ลำไย,"1,023.00",916,"1,939.00","210,000.00"
ส้มเขียวหวาน,8,0,8,0
ส้มโอ,50,0,50,"230,500.00"
เสาวรส,60,0,60,"120,000.00"
ไม้ยืนต้น,"14,666.00","21,416.00","36,082.00","27,683,157.50"
ปาล์มน้ำมัน,"3,069.00","1,849.00","4,918.00","7,086,370.00"
ยางพารา,"4,695.00","9,187.00","13,882.00","355,787.50"
ยูคาลิปตัส,"6,229.00","10,095.00","16,324.00","15,500,000.00"
ไผ่,673,285,958,"4,741,000.00"
โคกสูง,367,"1,167.00","1,534.00","450,000.00"
ไม้ผล,95,191,286,"450,000.00"
มะม่วง,0,0,0,0
มะละกอ,0,0,0,0
ลำไย,95,191,286,"450,000.00"
ไม้ยืนต้น,272,976,"1,248.00",0
ปาล์มน้ำมัน,210,554,764,0
ยางพารา,62,422,484,0
วังสมบูรณ์,"10,206.00","27,764.00","37,970.00",0
ไม้ผล,"2,590.00","13,746.00","16,336.00",0
กระท้อน,0,0,0,0
เงาะ,0,13,13,0
ทุเรียน,0,14,14,0
น้อยหน่า,15,15,30,0
ฝรั่ง,37,74,111,0
มะขาม,49,109,158,0
มะม่วง,849,265,"1,114.00",0
มะยงชิด,31,0,31,0
มะละกอ,102,10,112,0
ลำไย,"1,451.00","13,194.00","14,645.00",0
ลิ้นจี่,0,8,8,0
แก้วมังกร,56,44,100,0
ไม้ยืนต้น,"7,616.00","14,018.00","21,634.00",0
ปาล์มน้ำมัน,"1,196.00","2,684.00","3,880.00",0
มะพร้าว,7,0,7,0
มะม่วงหิมพานต์,0,35,35,0
ยางพารา,"6,413.00","11,149.00","17,562.00",0
ยูคาลิปตัส,0,113,113,0
ไผ่,0,37,37,0
สระบุรี,"28,534.00","17,261.50","45,795.50","73,245,267.00"
เมืองสระบุรี,615,154,769,0
ไม้ผล,539,68,607,0
กระท้อน,0,5,5,0
กล้วยน้ำว้า,244,13,257,0
ขนุนหนัง,29,11,40,0
ชมพู่,0,1,1,0
น้อยหน่า,4,0,4,0
ฝรั่ง,4,1,5,0
มะกรูด,9,3,12,0
มะนาว,12,0,12,0
มะม่วง,214,29,243,0
มะยงชิด,4,5,9,0
ส้มโอ,3,0,3,0
แก้วมังกร,16,0,16,0
ไม้ยืนต้น,76,86,162,0
มะพร้าว,54,7,61,0
ยางพารา,0,4,4,0
ยูคาลิปตัส,0,8,8,0
ไม้สัก,0,7,7,0
ไผ่,22,24,46,0
ตะกู,0,32,32,0
ผักหวานป่า,0,1,1,0
ไม้ยืนต้นอื่นๆ,0,3,3,0
แก่งคอย,"6,197.00","7,994.25","14,191.25",0
ไม้ผล,"5,458.00","5,986.00","11,444.00",0
กระท้อน,0,712,712,0
กล้วยไข่,20,0,20,0
กล้วยน้ำว้า,964,"1,509.00","2,473.00",0
ขนุนหนัง,222,19,241,0
เงาะ,57,188,245,0
ทุเรียน,412,2,414,0
มะกรูด,3,0,3,0
มะนาว,69,30,99,0
มะปรางหวาน,0,800,800,0
มะม่วง,"2,371.00",277,"2,648.00",0
มะยงชิด,579,884,"1,463.00",0
มะละกอ,20,0,20,0
มังคุด,40,146,186,0
ลองกอง,0,279,279,0
ลำไย,0,111,111,0
ลิ้นจี่,0,34,34,0
ส้มโอ,654,971,"1,625.00",0
แก้วมังกร,23,10,33,0
กล้วยเล็บมือนาง,24,14,38,0
ไม้ยืนต้น,739,"2,008.25","2,747.25",0
ปาล์มน้ำมัน,60,489.25,549.25,0
มะพร้าว,90,40,130,0
ยางพารา,566,"1,227.00","1,793.00",0
ยูคาลิปตัส,0,95,95,0
ไม้สัก,0,20,20,0
ต้นสนประดิพัทธ์,0,6,6,0
ผักหวานป่า,23,2,25,0
ไม้ยืนต้นอื่นๆ,0,129,129,0
หนองแค,"4,775.75","2,872.00","7,647.75","42,307,461.00"
ไม้ผล,"2,905.00","2,245.00","5,150.00","3,853,776.00"
กล้วยน้ำว้า,421,19,440,"188,850.00"
กล้วยหอม,"2,112.00","2,112.00","4,224.00","3,244,500.00"
เงาะ,7,0,7,"2,860.00"
ทุเรียน,15,0,15,"6,500.00"
มะนาว,56,25,81,"297,216.00"
มะม่วง,206,49,255,"91,850.00"
มะยงชิด,18,0,18,0
มังคุด,8,0,8,"5,000.00"
ส้มเขียวหวาน,50,40,90,"3,500.00"
แก้วมังกร,12,0,12,"13,500.00"
ไม้ยืนต้น,"1,870.75",627,"2,497.75","38,453,685.00"
ปาล์มน้ำมัน,"1,607.75",612,"2,219.75","38,420,650.00"
มะพร้าว,5,5,10,0
ยางพารา,0,10,10,0
สะเดา,8.5,0,8.5,"4,505.00"
ไผ่,199.5,0,199.5,"28,530.00"
ไม้ยืนต้นอื่นๆ,50,0,50,0
วิหารแดง,"6,816.00","2,931.00","9,747.00","16,461,500.00"
ไม้ผล,"2,369.00",640,"3,009.00","268,450.00"
กระท้อน,35,0,35,"2,650.00"
กล้วยน้ำว้า,439,140,579,"30,800.00"
กล้วยหอม,"1,038.00",283,"1,321.00","113,600.00"
ขนุนหนัง,17,1,18,0
ฝรั่ง,92,0,92,"4,100.00"
มะนาว,117,18,135,"13,800.00"
มะปรางหวาน,12,0,12,0
มะไฟ,33,0,33,0
มะม่วง,504,172,676,"95,900.00"
มะยงชิด,51,15,66,"1,600.00"
มะละกอ,6,0,6,"6,000.00"
ลองกอง,0,6,6,0
ลำไย,25,5,30,0
ไม้ยืนต้น,"4,436.00","2,252.00","6,688.00","16,187,450.00"
ปาล์มน้ำมัน,"3,883.00",55,"3,938.00","16,160,200.00"
มะพร้าว,0,295,295,0
ยางพารา,0,92,92,0
ยูคาลิปตัส,0,"1,702.00","1,702.00",0
สะเดา,60,50,110,"12,250.00"
หมาก,250,0,250,0
ไผ่,243,0,243,"15,000.00"
ตะกู,0,58,58,0
สมุนไพรและเครื่องเทศ (รต.02),11,39,50,"5,600.00"
กฤษณา,0,39,39,0
สมุนไพรอื่นๆ,11,0,11,"5,600.00"
หนองแซง,231.25,5,236.25,0
ไม้ผล,231.25,5,236.25,0
มะม่วง,231.25,5,236.25,0
บ้านหมอ,"3,309.00",0,"3,309.00","11,655,975.00"
ไม้ผล,349,0,349,0
มะม่วง,349,0,349,0
ไม้ยืนต้น,"2,960.00",0,"2,960.00","11,655,975.00"
ปาล์มน้ำมัน,277,0,277,0
ผักหวานป่า,"2,683.00",0,"2,683.00","11,655,975.00"
ดอนพุด,0,4,4,0
ไม้ผล,0,4,4,0
กล้วยน้ำว้า,0,1,1,0
ขนุนหนัง,0,0,0,0
ฝรั่ง,0,2,2,0
มะม่วง,0,1,1,0
มะยงชิด,0,0,0,0
ไม้ผลอื่นๆ,0,0,0,0
ไม้ยืนต้น,0,0,0,0
มะพร้าว,0,0,0,0
ไผ่,0,0,0,0
หนองโดน,449,65,514,0
ไม้ผล,301,65,366,0
กระท้อน,0,1,1,0
กล้วยไข่,1,0,1,0
กล้วยน้ำว้า,40,20,60,0
กล้วยหอม,0,8,8,0
ขนุนหนัง,4,0,4,0
น้อยหน่า,3,0,3,0
มะขามเทศ,1,0,1,0
มะม่วง,252,24,276,0
ลำไย,0,4,4,0
องุ่น,0,8,8,0
ไม้ยืนต้น,148,0,148,0
มะพร้าว,116,0,116,0
ไผ่,18,0,18,0
ผักหวานป่า,14,0,14,0
พระพุทธบาท,882,45,927,150
ไม้ผล,481,1,482,150
กล้วยน้ำว้า,23,0,23,0
ทับทิม,1,1,2,150
มะขามเทศ,4,0,4,0
มะม่วง,450,0,450,0
แก้วมังกร,3,0,3,0
ไม้ยืนต้น,401,44,445,0
ปาล์มน้ำมัน,0,20,20,0
มะพร้าว,275,21,296,0
ไผ่,30,0,30,0
อินทผาลัม,0,3,3,0
ผักหวานป่า,96,0,96,0
เสาไห้,227,82.5,309.5,"309,360.00"
ไม้ผล,208,73,281,"309,360.00"
กระท้อน,3,0,3,0
กล้วยน้ำว้า,61,49,110,"160,100.00"
ฝรั่ง,14,2,16,960
มะนาว,37,15,52,"147,500.00"
มะม่วง,82,0,82,0
มะยงชิด,0,3,3,0
ละมุด,2,2,4,800
ลำไย,3,0,3,0
ส้มโอ,2,0,2,0
อโวกาโด,0,2,2,0
แก้วมังกร,4,0,4,0
ไม้ยืนต้น,19,9,28,0
มะพร้าว,9,6,15,0
ไผ่,0,3,3,0
อินทผาลัม,10,0,10,0
สมุนไพรและเครื่องเทศ (รต.02),0,0.5,0.5,0
สมุนไพรอื่นๆ,0,0.5,0.5,0
มวกเหล็ก,"3,904.00","2,801.00","6,705.00","1,474,966.00"
ไม้ผล,"3,329.00","2,025.00","5,354.00","1,059,930.00"
กระท้อน,17,0,17,0
กล้วยไข่,15,0,15,"9,720.00"
กล้วยน้ำว้า,179,95,274,"58,924.00"
กล้วยหอม,67,75,142,"41,540.00"
ขนุนหนัง,36,48,84,"7,000.00"
ชมพู่,3,0,3,0
ทับทิม,15,22,37,0
ทุเรียน,68,41,109,0
น้อยหน่า,"1,034.00",412,"1,446.00","622,876.00"
ฝรั่ง,20,3,23,"10,220.00"
มะขาม,224,122,346,"15,000.00"
มะนาว,17,0,17,"22,000.00"
มะม่วง,"1,042.00",551,"1,593.00","56,500.00"
มะยงชิด,6,9,15,0
มะละกอ,142,5,147,"69,878.00"
ละมุด,10,12,22,"3,000.00"
ลำไย,43,174,217,"38,212.00"
ลิ้นจี่,62,7,69,0
ส้มโอ,7,1,8,0
องุ่น,102,300,402,"34,020.00"
แก้วมังกร,118,113,231,"71,040.00"
ไม้ผลอื่นๆ,102,35,137,0
ไม้ยืนต้น,575,775,"1,350.00","415,036.00"
ปาล์มน้ำมัน,0,76,76,0
มะพร้าว,49,9,58,"6,500.00"
ยางพารา,49,299,348,0
ยูคาลิปตัส,98,140,238,"120,000.00"
ไม้สัก,181,69,250,"250,000.00"
ไผ่,168,62,230,"35,850.00"
หม่อน,28,0,28,"2,070.00"
อินทผาลัม,0,35,35,0
ผักหวานป่า,2,0,2,616
ไม้ยืนต้นอื่นๆ,0,85,85,0
สมุนไพรและเครื่องเทศ (รต.02),0,1,1,0
กฤษณา,0,1,1,0
วังม่วง,155,232,387,0
ไม้ผล,55,205,260,0
กล้วยน้ำว้า,5,45,50,0
กล้วยหอม,0,15,15,0
น้อยหน่า,3,0,3,0
ฝรั่ง,5,0,5,0
มะขามเทศ,0,1,1,0
มะนาว,4,2,6,0
มะม่วง,23,110,133,0
ลำไย,0,23,23,0
องุ่น,15,9,24,0
ไม้ยืนต้น,100,27,127,0
มะพร้าว,20,7,27,0
ยางพารา,76,0,76,0
ไผ่,4,20,24,0
เฉลิมพระเกียรติ,973,75.75,"1,048.75","1,035,855.00"
ไม้ผล,946,54,"1,000.00","1,035,855.00"
กล้วยหอม,2,45,47,"2,000.00"
มะนาว,0,1,1,0
มะม่วง,937,1,938,"1,021,355.00"
ลำไย,7,7,14,"12,500.00"
ไม้ยืนต้น,27,21.75,48.75,0
ปาล์มน้ำมัน,7,18.75,25.75,0
มะพร้าว,20,0,20,0
หม่อน,0,3,3,0
สิงห์บุรี,"3,548.40","4,491.39","8,039.79","3,766,390.52"
เมืองสิงห์บุรี,302,981.74,"1,283.74","1,005,534.00"
ไม้ผล,275,835.49,"1,110.49","839,064.00"
กระท้อน,40,2.5,42.5,"17,100.00"
กล้วยน้ำว้า,120,299.5,419.5,"655,350.00"
กล้วยหอม,0,7.25,7.25,0
ขนุนหนัง,8,24.75,32.75,"78,500.00"
ชมพู่,0,1,1,0
ทุเรียน,0,3,3,0
น้อยหน่า,0,4,4,0
ฝรั่ง,8,14.75,22.75,"2,800.00"
มะกรูด,0,40.12,40.12,0
มะขามเทศ,0,6.5,6.5,0
มะนาว,35,118.87,153.87,"49,214.00"
มะปรางหวาน,5,0,5,0
มะม่วง,59,260,319,"36,100.00"
มะยงชิด,0,13.75,13.75,0
มะละกอ,0,8,8,0
ละมุด,0,10.25,10.25,0
ส้มโอ,0,20.25,20.25,0
แก้วมังกร,0,1,1,0
ไม้ผลอื่นๆ,0,0,0,0
ไม้ยืนต้น,27,141.25,168.25,"166,470.00"
โกโก้,0,11.5,11.5,0
ปาล์มน้ำมัน,6.25,0,6.25,"19,050.00"
มะพร้าว,20.75,49,69.75,"147,420.00"
ยูคาลิปตัส,0,48,48,0
ไม้สัก,0,2.5,2.5,0
ไผ่,0,23,23,0
อินทผาลัม,0,0.25,0.25,0
พยุง,0,7,7,0
สมุนไพรและเครื่องเทศ (รต.02),0,5,5,0
ยอบ้าน,0,5,5,0
บางระจัน,433.25,760.75,"1,194.00","2,170,990.00"
ไม้ผล,398.25,609,"1,007.25","2,146,040.00"
กระท้อน,0,1.5,1.5,0
กล้วยน้ำว้า,93,105.5,198.5,"78,800.00"
กล้วยหอม,0.5,2,2.5,0
ขนุนหนัง,4,4,8,400
ชมพู่,6,17,23,180
